candle_open_time,interval,architecture_version,point_in_time_safe,close_price,ema_20,ema_50,ema_200,rsi_14,macd_line,macd_signal,macd_histogram,atr_14,adx_14,plus_di,minus_di,vwap,structure_trend,cvd_delta,cvd_cumulative,cvd_trend,oi_current,oi_delta_pct,oi_volume_ratio,spot_price,basis_pct,data_quality,reference_factors_jsonb,reference_domain_result_jsonb
2025-12-19 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,88100,89399.84485876144,94164.6653516916,102949.09630799179,44.379502607524216,-1832.5320554753125,-1789.9493411318554,-42.582714343457155,3801.6850925026533,26.94241176823133,13.263251744003213,21.1638325875988,89510.09219738773,bullish,2801.411999999982,-350473.39300000016,falling,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""falling""},""value"":-1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":44.379502607524216,""macd_histogram"":-42.582714343457155},""value"":-1},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bullish""},""value"":1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":94164.6653516916,""ema_200"":102949.09630799179},""value"":-1},""vwap_position"":{""basis"":{""vwap"":89510.09219738773,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":26.94241176823133},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":29,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":-1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-1,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":0,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""BEARISH"",""weighted_score"":-2,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-20 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,88320.8,89297.07868173654,93935.49416142919,102803.5411208476,44.97179143881162,-1704.6965018982446,-1772.8987732851333,68.2022713868887,3591.086157323892,26.657149244030954,13.03814013197789,20.80462772876149,89467.34978272342,bullish,546.7400000000052,-349926.65300000017,rising,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""rising""},""value"":1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":44.97179143881162,""macd_histogram"":68.2022713868887},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bullish""},""value"":1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":93935.49416142919,""ema_200"":102803.5411208476},""value"":-1},""vwap_position"":{""basis"":{""vwap"":89467.34978272342,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":26.657149244030954},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":5,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.6667,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":0,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""MIXED"",""weighted_score"":0.3333,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-21 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,88621.3,89232.71880729945,93727.14797881195,102735.89234805461,45.81743698897091,-1561.1421866179153,-1730.5474508037673,169.40526418585205,3441.8300025725825,26.123801136898255,13.665780353825237,20.156339963684893,89710.0025607549,bullish,-2198.652000000009,-354030.2590000002,rising,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""rising""},""value"":1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":45.81743687865434,""macd_histogram"":169.40526609249264},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bullish""},""value"":1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":93727.09439039275,""ema_200"":102662.4242937745},""value"":-1},""vwap_position"":{""basis"":{""vwap"":89710.0025607549,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":26.12380144621224},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":5,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.6667,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":0,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""MIXED"",""weighted_score"":0.3333,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-22 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,88581.5,89170.69796850902,93525.3578619958,102595.05262319835,45.71722813240812,-1434.0549950360582,-1671.2489596502255,237.19396461416727,3392.6992881031124,24.838037872257356,16.134620289809597,18.98764221541276,89658.34014997413,bearish,1103.258999999991,-352927.00000000023,rising,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""rising""},""value"":1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":45.717228022315666,""macd_histogram"":237.1939663795747},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bearish""},""value"":-1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":93525.30637508324,""ema_200"":102522.31559433397},""value"":-1},""vwap_position"":{""basis"":{""vwap"":89658.34014997413,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":24.83803816024871},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":10,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.6667,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":-1,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""MIXED"",""weighted_score"":-0.6667,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-23 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,87463,89008.06006674626,93287.61833799597,102444.48493540534,42.878937091383705,-1407.3678222008457,-1618.4727321603498,211.10490995950408,3319.570767524318,24.15546241052341,15.312196792460982,20.836421994767583,89334.9822491114,bearish,-3952.714000000007,-356879.71400000027,falling,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""falling""},""value"":-1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":42.87893698767067,""macd_histogram"":211.10491159414823},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bearish""},""value"":-1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":93287.56887017802,""ema_200"":102372.47165807194},""value"":-1},""vwap_position"":{""basis"":{""vwap"":89334.9822491114,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":24.15546267890678},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":38,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":-1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.6667,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":-1,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""BEARISH"",""weighted_score"":-2.6667,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-24 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,87627.3,88876.55910800851,93065.64506983927,102297.05025943117,43.43447679439275,-1357.3141361082962,-1566.241012949939,208.92687684164275,3202.3371412725814,23.591048708517366,14.738989101972802,20.460139515315838,89117.6789868797,bearish,72.4259999999922,-356807.2880000003,falling,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""falling""},""value"":-1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":43.43447669177669,""macd_histogram"":208.92687835519223},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bearish""},""value"":-1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":93065.59754193574,""ema_200"":102225.75353212097},""value"":-1},""vwap_position"":{""basis"":{""vwap"":89117.6789868797,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":23.591048958716044},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":38,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":-1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.6667,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":-1,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""BEARISH"",""weighted_score"":-2.6667,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-25 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,87182.8,88715.24871676961,92834.94526317892,102146.65970958608,42.23763351630386,-1338.0890072767215,-1520.6106118152957,182.52160453857414,3094.4487740388254,22.760923682987396,15.457628617250386,19.66109320982515,89024.92389805766,bearish,-2141.9919999999984,-358949.28000000026,falling,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""falling""},""value"":-1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":42.23763341633041,""macd_histogram"":182.52160594000884},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bearish""},""value"":-1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":92834.89959911474,""ema_200"":102076.07240244813},""value"":-1},""vwap_position"":{""basis"":{""vwap"":89024.92389805766,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":22.760923916120554},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":38,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":-1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.6667,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":-1,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""BEARISH"",""weighted_score"":-2.6667,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-26 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,87318.2,88582.19645802965,92618.60231168171,101999.11284680413,42.755086831741075,-1296.9765672260255,-1475.8838028974417,178.90723567141617,3083.252433036053,21.479415732812956,16.637971349424785,18.323025819326332,88950.52365089576,bearish,2412.1450000000186,-356537.13500000024,falling,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""falling""},""value"":-1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":42.755086732742484,""macd_histogram"":178.90723696903797},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bearish""},""value"":-1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":92618.55843836514,""ema_200"":101929.22790093125},""value"":-1},""vwap_position"":{""basis"":{""vwap"":88950.52365089576,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":21.47941594982407},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":38,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":-1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.6667,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":-1,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""BEARISH"",""weighted_score"":-2.6667,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-27 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,87829.4,88510.50155726493,92430.79045632164,101858.12067917424,44.766876905642086,-1209.2061191267567,-1422.5482661433048,213.3421470165481,2916.87011639062,20.289444064793834,16.33080828716434,17.984754007075857,88889.25145430196,bearish,-200.1790000000001,-356737.31400000025,falling,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""falling""},""value"":-1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":44.76687681041997,""macd_histogram"":213.34214821804608},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bearish""},""value"":-1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":92430.7483035273,""ema_200"":101788.9311058971},""value"":-1},""vwap_position"":{""basis"":{""vwap"":88889.25145430196,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":20.289444266834476},""value"":-1}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":38,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":-1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.6667,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":-1,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""BEARISH"",""weighted_score"":-2.6667,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-28 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,87920.5,88454.3109327635,92253.91632077962,101719.43788634664,45.13690802985675,-1119.392735355228,-1361.9171599856895,242.52442463046145,2756.7865366484325,19.11526346952735,16.359445999579314,17.669886934722136,88756.18923219362,bearish,1098.3680000000022,-355638.94600000023,rising,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""rising""},""value"":1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":45.13690793532689,""macd_histogram"":242.5244257429531},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bearish""},""value"":-1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":92253.87582103604,""ema_200"":101650.93676653494},""value"":-1},""vwap_position"":{""basis"":{""vwap"":88756.18923219362,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":19.115263657631854},""value"":0}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":5,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.3333,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":-1,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""MIXED"",""weighted_score"":-0.3333,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
2025-12-29 00:00:00+00,1d,experimental_domain_v2_phase4_full_asof,True,87203.3,88335.16703440508,92055.85293565101,101574.99870339793,42.71094370951476,-1093.4820473820437,-1308.2301374649603,214.74809008291663,2817.9732126021154,18.649712275066577,20.67857804868814,16.051490493813276,88459.17282272404,bearish,562.1389999999956,-355076.80700000026,rising,,,,,,OK,"{""cvd"":{""basis"":{""cvd_trend"":""rising""},""value"":1},""basis"":{""basis"":{""basis_pct"":null},""value"":null},""macro"":{""basis"":{""regime"":null},""value"":null},""funding"":{""basis"":{""avg_funding_rate"":null},""value"":null},""options"":{""basis"":{""put_call_oi_ratio"":null},""value"":null},""momentum"":{""basis"":{""rsi_14"":42.710943619728596,""macd_histogram"":214.74809111301602},""value"":0},""oi_price"":{""basis"":{""oi_delta_pct"":null,""threshold_unverified_for_interval"":true},""value"":null},""orderbook"":{""basis"":{""avg_depth_imbalance"":null},""value"":null},""sentiment"":{""basis"":{""classification"":null},""value"":null},""structure"":{""basis"":{""structure_trend"":""bearish""},""value"":-1},""positioning"":{""basis"":{""score"":null},""value"":null},""trend_regime"":{""basis"":{""ema_50"":92055.81402413268,""ema_200"":101507.17918676844},""value"":-1},""vwap_position"":{""basis"":{""vwap"":88459.17282272404,""threshold_unverified_for_interval"":true},""value"":-1},""trend_strength"":{""basis"":{""adx_14"":18.649712449747955},""value"":0}}","{""note"":""EXPERIMENTAL -- laeuft parallel zur produktiven compute-market-state Funktion, schreibt in keine Tabelle. Independence-Gewichtung ist ein Platzhalter (1.0), da die bisherige Historie fuer eine kalibrierte Redundanz-Korrektur nicht ausreicht."",""confidence"":5,""domain_scores"":{""options"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""sentiment"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""order_flow"":{""score"":1,""factors_total"":2,""factors_with_data"":1},""momentum_trend"":{""score"":-0.3333,""factors_total"":3,""factors_with_data"":3},""macro_liquidity"":{""score"":null,""factors_total"":1,""factors_with_data"":0},""market_structure"":{""score"":-1,""factors_total"":2,""factors_with_data"":2},""derivatives_leverage"":{""score"":null,""factors_total"":4,""factors_with_data"":0}},""overall_state"":""MIXED"",""weighted_score"":-0.3333,""domain_coverage_pct"":42.9,""architecture_version"":""experimental_domain_v1_phase3"",""independence_weight_applied"":1}"
